text,label
Truly Wonderful experience overall,Positive
Really Amazing storyline and great visuals,Positive
Honestly Wonderful experience overall,Positive
Truly I enjoyed every moment,Positive
Customer support was useless,Negative
Honestly The app is easy to use,Positive
Definitely One star,Negative
Absolutely The food was delicious,Positive
The food was cold,Negative
Very dissatisfied with my purchase,Negative
Definitely I regret buying this,Negative
Really The feature does not work,Negative
Truly The app keeps crashing,Negative
Absolutely I hated this movie,Negative
Truly Extremely slow performance,Negative
Honestly The acting was fantastic,Positive
Truly This made my day,Positive
Honestly The acting was terrible,Negative
Honestly Poor quality and slow delivery,Negative
Honestly Waste of money,Negative
The app keeps crashing,Negative
Definitely Excellent performance,Positive
Really This product disappointed me,Negative
Honestly Brilliant design,Positive
Absolutely Amazing storyline and great visuals,Positive
Poor quality and slow delivery,Negative
Awful storyline and boring scenes,Negative
This made my day,Positive
Bad design,Negative
Absolutely The hotel was dirty,Negative
Definitely Very satisfied with my purchase,Positive
Honestly Very dissatisfied with my purchase,Negative
Really The hotel was clean and comfortable,Positive
Definitely This product exceeded my expectations,Positive
Really This product disappointed me,Negative
Really The feature works perfectly,Positive
Really The acting was fantastic,Positive
Truly Five stars,Positive
The hotel was dirty,Negative
Definitely Customer support was useless,Negative
Wonderful experience overall,Positive
Truly Worth every penny,Positive
Absolutely This product disappointed me,Negative
Really The hotel was dirty,Negative
Truly Amazing storyline and great visuals,Positive
Absolutely The app keeps crashing,Negative
Truly Extremely slow performance,Negative
Really This made my day,Positive
Honestly I regret buying this,Negative
Very dissatisfied with my purchase,Negative
Honestly This product disappointed me,Negative
Honestly The service was horrible,Negative
Really Brilliant design,Positive
Absolutely Bad design,Negative
Really I hated this movie,Negative
Very satisfied with my purchase,Positive
This made my day,Positive
Truly Bad design,Negative
Definitely The app is easy to use,Positive
Truly Extremely slow performance,Negative
Really The feature works perfectly,Positive
The hotel was dirty,Negative
Honestly Waste of money,Negative
Really Brilliant design,Positive
Definitely Brilliant design,Positive
Honestly I hated this movie,Negative
Definitely I absolutely loved this movie,Positive
Definitely Bad design,Negative
Worth every penny,Positive
Definitely I enjoyed every moment,Positive
Truly The hotel was clean and comfortable,Positive
Definitely The app is easy to use,Positive
Honestly The food was cold,Negative
Honestly The service was excellent,Positive
Definitely The service was excellent,Positive
Really I regret buying this,Negative
Absolutely I enjoyed every moment,Positive
Really Waste of money,Negative
Honestly This made my day,Positive
Really Very dissatisfied with my purchase,Negative
Honestly This product disappointed me,Negative
Really The hotel was dirty,Negative
Absolutely Bad design,Negative
Definitely Extremely slow performance,Negative
Truly The app is easy to use,Positive
Really I do not recommend this,Negative
Wonderful experience overall,Positive
Absolutely Highly recommend this,Positive
Really Extremely slow performance,Negative
Absolutely Very satisfied with my purchase,Positive
Really Five stars,Positive
I do not recommend this,Negative
Really The acting was terrible,Negative
Truly The hotel was clean and comfortable,Positive
Definitely This made my day,Positive
Absolutely Very dissatisfied with my purchase,Negative
Definitely Worth every penny,Positive
Definitely This made my day,Positive
Honestly The hotel was clean and comfortable,Positive
The hotel was clean and comfortable,Positive
Really Extremely slow performance,Negative
Definitely The acting was terrible,Negative
Honestly The app keeps crashing,Negative
This product exceeded my expectations,Positive
Really Awful storyline and boring scenes,Negative
Definitely This product exceeded my expectations,Positive
Absolutely Great quality and fast delivery,Positive
Terrible experience overall,Negative
Truly Worth every penny,Positive
Definitely Great quality and fast delivery,Positive
Truly I hated this movie,Negative
Truly Highly recommend this,Positive
Absolutely This product disappointed me,Negative
Honestly This product exceeded my expectations,Positive
Truly I enjoyed every moment,Positive
Terrible experience overall,Negative
Absolutely The service was excellent,Positive
Definitely Worth every penny,Positive
Really Five stars,Positive
Absolutely The app is easy to use,Positive
Definitely The service was horrible,Negative
Definitely The food was delicious,Positive
Honestly Bad design,Negative
Definitely Five stars,Positive
Honestly The feature works perfectly,Positive
Absolutely This product exceeded my expectations,Positive
Honestly Great quality and fast delivery,Positive
Truly The food was cold,Negative
Absolutely Very satisfied with my purchase,Positive
Really The feature does not work,Negative
Really I absolutely loved this movie,Positive
Brilliant design,Positive
Really This product disappointed me,Negative
The hotel was dirty,Negative
Really Terrible experience overall,Negative
This product disappointed me,Negative
Really Waste of money,Negative
Honestly This made my day,Positive
Definitely Extremely slow performance,Negative
Honestly The acting was fantastic,Positive
Definitely The feature does not work,Negative
